time[s],iL[A],v out[V]
0.0,0.0,0.0
0.00040000000467443897,0.0,0.0
0.0008000000093488779,0.0,0.0
0.0012000000424450263,0.0,0.0
0.0016000000186977559,0.0,0.0
0.0019999999949504854,0.0,0.0
0.0024000000848900527,0.0,0.0
0.0027999999474559445,0.0,0.0
0.0032000000373955118,0.0,0.0
0.0035999998999614036,0.0,0.0
0.003999999989900971,0.0,0.0
0.004399999852466863,0.0,0.0
0.004800000169780105,0.0,0.0
0.005200000032345997,0.0,0.0
0.005599999894911889,0.0,0.0
0.006000000212225132,0.0,0.0
0.0064000000747910235,0.0,0.0
0.006799999937356915,0.0,0.0
0.007199999799922807,0.0,0.0
0.00760000011723605,0.0,0.0
0.007999999979801942,0.0,0.0
0.008400000297115184,0.0,0.0
0.008799999704933725,0.0,0.0
0.009200000022246968,0.0,0.0
0.00960000033956021,0.0,0.0
0.009999999747378752,0.012072443962097168,1.1041178140658303e-06
0.010400000064691994,0.02414487674832344,2.9265811463119462e-05
0.010800000382005237,0.024144841358065605,5.853017864865251e-05
0.011199999789823778,0.02414478175342083,8.779307245276868e-05
0.01160000010713702,0.024144699797034264,0.00011705446377163753
0.012000000424450263,0.024144595488905907,0.0001463143271394074
0.012399999832268804,0.02414446696639061,0.00017557261162437499
0.012800000149582047,0.024144314229488373,0.0002048293245024979
0.013199999557400588,0.024144139140844345,0.0002340844221180305
0.01359999987471383,0.024143939837813377,0.00026333786081522703
0.014000000192027073,0.02414371818304062,0.0002925896260421723
0.014399999599845614,0.02414347231388092,0.0003218397032469511
0.014799999917158857,0.024143202230334282,0.0003510880342219025
0.0152000002344721,0.024142909795045853,0.00038033461896702647
0.015600000551785342,0.024142593145370483,0.0004095794283784926
0.015999999959603883,0.024142254143953323,0.00043882240424863994
0.016399999367422424,0.024141890928149223,0.0004680635465774685
0.01680000059423037,0.024141505360603333,0.0004973027971573174
0.01720000000204891,0.0241410955786705,0.0005265401559881866
0.01759999940986745,0.02414066344499588,0.0005557755939662457
0.018000000636675395,0.02414020709693432,0.0005850091110914946
0.018400000044493936,0.024139726534485817,0.0006142405909486115
0.018799999452312477,0.024139223620295525,0.0006434700335375965
0.01920000067912042,0.02413869835436344,0.0006726974970661104
0.019600000086938962,0.02413814701139927,0.0007019228651188314
