time[s],iL[A],v out[V]
0.0,0.0,0.0
0.00040000000467443897,0.0796244814991951,4.802997864317149e-05
0.0008000000093488779,0.159624382853508,0.00019302385044284165
0.0012000000424450263,0.23962414264678955,0.00043497784645296633
0.0016000000186977559,0.3196236789226532,0.0007738870335742831
0.0019999999949504854,0.3996228873729706,0.0012097463477402925
0.0024000000848900527,0.4796217083930969,0.0017425507539883256
0.0027999999474559445,0.5596200823783875,0.0023722948972135782
0.0032000000373955118,0.6396178603172302,0.0030989735387265682
0.0035999998999614036,0.71961510181427,0.00392258120700717
0.003999999989900971,0.7996115684509277,0.004843113012611866
0.004399999852466863,0.8796073198318481,0.005860561970621347
0.004800000169780105,0.9596021771430969,0.006974923890084028
0.005200000032345997,1.0395960807800293,0.008186192251741886
0.005599999894911889,1.11958909034729,0.009494361467659473
0.006000000212225132,1.1995809078216553,0.01089942455291748
0.0064000000747910235,1.279571533203125,0.012401376850903034
0.006799999937356915,1.3595610857009888,0.014000211842358112
0.007199999799922807,1.439549207687378,0.015695922076702118
0.00760000011723605,1.5195358991622925,0.017488503828644753
0.007999999979801942,1.5995211601257324,0.019377948716282845
0.008400000297115184,1.6795048713684082,0.021364249289035797
0.008799999704933725,1.7594869136810303,0.023447401821613312
0.009200000022246968,1.8394672870635986,0.025627397000789642
0.00960000033956021,1.9194458723068237,0.02790422923862934
0.009999999747378752,1.9994226694107056,0.03027789108455181
0.010400000064691994,2.079397439956665,0.032748375087976456
0.010800000382005237,2.159370183944702,0.035315677523612976
0.011199999789823778,2.2393410205841064,0.03797978535294533
0.01160000010713702,2.3193094730377197,0.04074069485068321
0.012000000424450263,2.399275779724121,0.04359840229153633
0.012399999832268804,2.4792397022247314,0.04655289277434349
0.012800000149582047,2.559201240539551,0.04960416257381439
0.013199999557400588,2.63916015625,0.05275220423936844
0.01359999987471383,2.719116687774658,0.055997006595134735
0.014000000192027073,2.7990705966949463,0.05933856964111328
0.014399999599845614,2.8790218830108643,0.06277687847614288
0.014799999917158857,2.958970069885254,0.06631192564964294
0.0152000002344721,3.0389156341552734,0.06994370371103287
0.015600000551785342,3.1188583374023438,0.07367220520973206
0.015999999959603883,3.1987977027893066,0.07749743014574051
0.016399999367422424,3.2787342071533203,0.08141934871673584
0.01680000059423037,3.3586673736572266,0.08543797582387924
0.01720000000204891,3.4385974407196045,0.08955328911542892
0.01759999940986745,3.518524169921875,0.09376528114080429
0.018000000636675395,3.598447322845459,0.09807395190000534
0.018400000044493936,3.6783671379089355,0.10247927904129028
0.018799999452312477,3.7582833766937256,0.10698126256465912
0.01920000067912042,3.838196039199829,0.11157989501953125
0.019600000086938962,3.918104887008667,0.11627515405416489
0.019999999494757503,3.9976344108581543,0.12106704711914062
0.020400000721565448,4.0688395500183105,0.12594513595104218
0.02080000012938399,4.148736953735352,0.13091926276683807
0.02119999953720253,4.228630065917969,0.1359899789094925
0.021600000764010474,4.30851936340332,0.14115729928016663
0.022000000171829015,4.388404369354248,0.1464211791753769
0.022399999579647556,4.468285083770752,0.15178164839744568
0.0228000008064555,4.548161506652832,0.1572386622428894
0.02320000021427404,4.62803316116333,0.16279223561286926
0.023599999622092582,4.7079010009765625,0.16844235360622406
0.024000000848900527,4.787763595581055,0.1741890013217926
0.024400000256719068,4.867621898651123,0.1800321638584137
0.02479999966453761,4.947475910186768,0.18597182631492615
0.025200000891345553,5.027324676513672,0.19200800359249115
0.025600000299164094,5.107168674468994,0.19814066588878632
0.025999999706982635,5.187007427215576,0.20436979830265045
0.026399999114801176,5.266841411590576,0.21069540083408356
0.02680000034160912,5.346670150756836,0.21711745858192444
0.02719999974942766,5.426494121551514,0.2236359715461731
0.027599999157246202,5.506312370300293,0.23025090992450714
0.028000000384054147,5.58612585067749,0.23696227371692657
0.028399999791872688,5.665933132171631,0.2437700480222702
0.02879999919969123,5.7457356452941895,0.25067421793937683
0.029200000426499173,5.82553243637085,0.25767481327056885
0.029599999834317714,5.905323028564453,0.2647717297077179
0.029999999242136255,5.985108375549316,0.27196505665779114
0.0304000004689442,6.064888000488281,0.2792547345161438
0.030800001695752144,6.144661903381348,0.2866407334804535
0.031200001103570685,6.224429607391357,0.2941230833530426
0.031600000511389226,6.3041911125183105,0.30170172452926636
0.03199999991920777,6.383946895599365,0.30937668681144714
0.03239999932702631,6.463696002960205,0.31714797019958496
0.03279999873484485,6.5434393882751465,0.32501551508903503
0.0332000017806422,6.623176097869873,0.33297932147979736
0.03360000118846074,6.702906608581543,0.34103938937187195
0.03400000059627928,6.782630443572998,0.3491957187652588
0.03440000000409782,6.862347602844238,0.3574482798576355
0.03479999941191636,6.942058563232422,0.3657970428466797
0.0351999988197349,7.021762371063232,0.37424203753471375
0.03559999822755344,7.101459503173828,0.3827832043170929
0.03600000127335079,7.181149959564209,0.3914205729961395
0.03640000068116933,7.260833263397217,0.40015408396720886
0.03680000008898787,7.340509414672852,0.4089837670326233
0.03719999949680641,7.4201788902282715,0.4179096221923828
0.037599998904624954,7.49984073638916,0.42693156003952026
0.037999998312443495,7.579495906829834,0.4360496401786804
0.03840000135824084,7.659143447875977,0.4452638030052185
0.038800000766059384,7.738783359527588,0.4545740783214569
0.039200000173877925,7.818416118621826,0.46398040652275085
0.039599999581696466,7.898040771484375,0.47348281741142273
0.03999999898951501,7.9689621925354,0.4830806851387024
0.04039999839733355,7.968571662902832,0.49271613359451294
0.040800001443130895,7.968173980712891,0.5023506283760071
0.041200000850949436,8.014028549194336,0.5120004415512085
0.04160000025876798,8.093615531921387,0.5217375755310059
