time[s],iL[A],v out[V]
0.0,0.0,0.0
0.00040000000467443897,0.0,0.0
0.0008000000093488779,0.0,0.0
0.0012000000424450263,0.0,0.0
0.0016000000186977559,0.0,0.0
0.0019999999949504854,0.0,0.0
0.0024000000848900527,0.0,0.0
0.0027999999474559445,0.0,0.0
0.0032000000373955118,0.0,0.0
0.0035999998999614036,0.0,0.0
0.003999999989900971,0.0,0.0
0.004399999852466863,0.0,0.0
0.004800000169780105,0.0,0.0
0.005200000032345997,0.0,0.0
0.005599999894911889,0.0,0.0
0.006000000212225132,0.0,0.0
0.0064000000747910235,0.0,0.0
0.006799999937356915,0.0,0.0
0.007199999799922807,0.0,0.0
0.00760000011723605,0.0,0.0
0.007999999979801942,0.0,0.0
0.008400000297115184,0.0,0.0
0.008799999704933725,0.0,0.0
0.009200000022246968,0.0,0.0
0.00960000033956021,0.0,0.0
0.009999999747378752,0.018058836460113525,2.4706089334358694e-06
0.010400000064691994,0.03611765429377556,4.3777909013442695e-05
0.010800000382005237,0.03611760213971138,8.75536716193892e-05
0.011199999789823778,0.036117516458034515,0.00013132723688613623
0.01160000010713702,0.036117393523454666,0.00017509853933006525
0.012000000424450263,0.03611723333597183,0.0002188675571233034
0.012399999832268804,0.03611704334616661,0.00026263424661010504
0.012800000149582047,0.036116816103458405,0.0003063985495828092
0.013199999557400588,0.036116551607847214,0.000350160407833755
0.01359999987471383,0.03611625358462334,0.0003939198504667729
0.014000000192027073,0.036115922033786774,0.0004376767610665411
0.014399999599845614,0.036115553230047226,0.0004814311396330595
0.014799999917158857,0.03611515089869499,0.0005251829279586673
0.0152000002344721,0.03611471503973007,0.000568932096939534
0.015600000551785342,0.03611424192786217,0.0006126785883679986
0.015999999959603883,0.03611373528838158,0.0006564223440364003
0.016399999367422424,0.036113191395998,0.0007001633639447391
0.01680000059423037,0.03611261397600174,0.0007439015316776931
0.01720000000204891,0.03611199930310249,0.0007876369054429233
0.01759999940986745,0.03611135482788086,0.0008313694270327687
0.018000000636675395,0.03611066937446594,0.0008750989800319076
0.018400000044493936,0.03610995411872864,0.0009188255644403398
0.018799999452312477,0.03610920161008835,0.0009625491220504045
0.01920000067912042,0.036108411848545074,0.0010062697110697627
0.019600000086938962,0.036107588559389114,0.0010499870404601097
